"","simnum","dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FielSize","CatchRadius","NumVisits","density"
"244",9,0.690020161290323,44.1612903225806,0.597306366871585,0.597306366871585,0.597306366871585,64,"4",1,11,0.5,4,0.5
"245",9,0.964285714285714,27,0.422649730810374,0.422649730810374,0.422649730810374,28,"5",1,11,0.5,4,0.5
"246",10,0.25,1,1,1,1,4,"1",1,11,0.5,4,0.5
"247",10,0.5,8,1,1,1,16,"2",1,11,0.5,4,0.5
"248",10,0.727272727272727,26.1818181818182,0.711324865405187,0.711324865405187,0.711324865405187,36,"3",1,11,0.5,4,0.5
"249",10,0.780827702702703,49.972972972973,0.626456316181186,0.626456316181186,0.626456316181186,64,"4",1,11,0.5,4,0.5
"250",10,0.859523809523809,24.0666666666667,0.541168532258876,0.541168532258876,0.541168532258876,28,"5",1,11,0.5,4,0.5
"251",1,1.75,7,1,1,1,4,"1",1,11,0.5,4,1
"252",1,1.265625,20.25,0.666666666666667,0.666666666666667,0.666666666666667,16,"2",1,11,0.5,4,1
"253",1,1.31695156695157,47.4102564102564,0.695002859334791,0.695002859334791,0.695002859334791,36,"3",1,11,0.5,4,1
"254",1,1.43405330882353,91.7794117647059,0.626850557645983,0.626850557645983,0.626850557645983,64,"4",1,11,0.5,4,1
"255",1,1.59605911330049,44.6896551724138,0.559041448155902,0.559041448155902,0.559041448155902,28,"5",1,11,0.5,4,1
"256",2,0.75,3,1,1,1,4,"1",1,11,0.5,4,1
"257",2,1.25347222222222,20.0555555555556,0.770584266129438,0.770584266129438,0.770584266129438,16,"2",1,11,0.5,4,1
"258",2,1.25641025641026,45.2307692307692,0.732738758087576,0.732738758087576,0.732738758087576,36,"3",1,11,0.5,4,1
"259",2,1.42524038461538,91.2153846153846,0.605228983024139,0.605228983024139,0.605228983024139,64,"4",1,11,0.5,4,1
"260",2,1.68269230769231,47.1153846153846,0.49290744716289,0.49290744716289,0.49290744716289,28,"5",1,11,0.5,4,1
